bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,,,
Reginald,0,22,14,7,2112.656467,1344.339151,1344.475367,2113.981358,,,,,,,,,,
Reginald,0,22,14,8,2130.774811,1344.551043,1344.680773,2127.158336,,,,,,,,,,
Reginald,0,22,14,9,2128.028747,1344.752124,1344.892665,2134.559535,,,,,,,,,,
Uilli,1,22,14,1,3014.028777,1308.319459,1308.676216,3016.055425,,,,,,,,,,
Uilli,1,22,14,2,3025.178641,1308.959459,1309.463243,3025.088896,,,,,,,,,,
Uilli,1,22,14,3,3051.055449,1309.778919,1310.235135,3051.053678,,,,,,,,,,
Uilli,1,22,14,4,3163.845478,1310.444865,1310.907568,3163.892973,,,,,,,,,,
Uilli,1,22,14,5,3159.74823,1311.097838,1311.543243,3158.819936,,,,,,,,,,
Uilli,1,22,14,6,3181.174401,1311.718378,1312.137838,3177.755554,,,,,,,,,,
Uilli,1,22,14,7,3181.437126,1312.306486,1312.708649,3180.192828,,,,,,,,,,
Uilli,1,22,14,8,3194.207897,1312.890271,1313.281622,3193.985747,,,,,,,,,,
Uilli,1,22,14,9,3197.971446,1313.458919,1313.85027,3199.096124,,,,,,,,,,
Uilli,1,22,14,10,3169.152443,1314.01027,1314.427568,3167.972613,,,,,,,,,,
Uilli,1,22,14,11,3167.387856,1314.578919,1314.927027,3194.319958,,,,,,,,,,
Uilli,1,22,14,12,3177.694954,1315.13027,1315.482703,3177.76491,,,,,,,,,,
Reginald,0,23,15,1,1936.962573,1342.95753,1343.039692,1934.850993,,,,,,,,,,
Reginald,0,23,15,2,2003.81092,1343.232124,1343.33807,2000.684785,,,,,,,,,,
Reginald,0,23,15,3,2050.846936,1343.491584,1343.621313,2050.087382,,,,,,,,,,
Reginald,0,23,15,4,2065.488907,1343.725097,1343.854827,2065.501573,,,,,,,,,,
Reginald,0,23,15,5,2091.914369,1343.930503,1344.05807,2092.907927,,,,,,,,,,
Reginald,0,23,15,6,2114.485195,1344.142394,1344.2678,2112.909058,,,,,,,,,,
Reginald,0,23,15,7,2114.529364,1344.339151,1344.475367,2113.981358,,,,,,,,,,
Reginald,0,23,15,8,2124.234822,1344.551043,1344.680773,2127.158336,,,,,,,,,,
Reginald,0,23,15,9,2140.918098,1344.752124,1344.892665,2134.559535,,,,,,,,,,
Uilli,1,23,15,1,2344.257498,1335.352973,1335.448108,2354.242135,,,,,,,,,,
Uilli,1,23,15,2,2316.056823,1335.519459,1335.614595,2312.202097,,,,,,,,,,
Uilli,1,23,15,3,2340.662912,1335.688108,1335.791892,2341.33712,,,,,,,,,,
Uilli,1,23,15,4,2317.478345,1335.843784,1335.951892,2312.290268,,,,,,,,,,
Uilli,1,23,15,5,2325.439425,1336.001622,1336.092432,2323.370787,,,,,,,,,,
Uilli,1,23,15,6,2350.290698,1336.152973,1336.252432,2342.215637,,,,,,,,,,
Uilli,1,23,15,7,2341.59292,1336.315135,1336.425405,2348.735349,,,,,,,,,,
