bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Ozzy,1,30,13,11,2865.211413,1631.105946,1631.307027,2864.411367
Ozzy,1,30,13,12,2901.724138,1631.397838,1631.588108,2901.10833
Ozzy,1,30,13,13,2906.76978,1631.655135,1631.847568,2909.862142
Ozzy,1,30,13,14,2895.348003,1631.936216,1632.104865,2899.287443
Ozzy,1,30,13,15,2944.298246,1632.221622,1632.405405,2943.62739
Ozzy,1,30,13,16,2932.74697,1632.498378,1632.68,2945.505618
Ozzy,1,30,13,17,2900.939728,1632.785946,1632.948108,2904.236577
Ozzy,1,30,13,18,2909.679423,1633.045405,1633.229189,2905.53979
Chimichanga,0,31,14,1,2645.29793,1672.954009,1673.358333,2643.87303
Chimichanga,0,31,14,2,2647.695569,1673.66536,1674.158333,2651.152201
Chimichanga,0,31,14,3,2674.875767,1674.374549,1674.852387,2636.833863
Ozzy,1,31,14,1,2525.148461,1670.967568,1671.35027,2510.966939
Ozzy,1,31,14,2,2346.609232,1671.674595,1672.15027,2346.057775
Ozzy,1,31,14,3,2362.000845,1672.47027,1672.885405,2363.016168
Ozzy,1,31,14,4,2351.459925,1673.086486,1673.534054,2352.685176
Ozzy,1,31,14,5,2331.230207,1673.691892,1674.161081,2331.596752
Chimichanga,0,32,15,1,2937.174944,1744.530225,1744.904279,2935.366149
Chimichanga,0,32,15,2,3110.35514,1745.118333,1745.462117,3109.484862
Chimichanga,0,32,15,3,3187.619296,1745.674009,1746.108603,3186.815194
Chimichanga,0,32,15,4,3115.803524,1746.329144,1746.696711,3117.742134
Chimichanga,0,32,15,5,3124.481239,1746.850225,1747.170225,3124.778573
Chimichanga,0,32,15,6,3091.237988,1747.302117,1747.619955,3092.694585
Chimichanga,0,32,15,7,3040.509226,1747.754009,1748.06536,3038.278348
Chimichanga,0,32,15,8,3046.256747,1748.210225,1748.502117,3045.513866
Chimichanga,0,32,15,9,3028.137045,1748.640495,1748.943198,3019.280899
Chimichanga,0,32,15,10,3093.479797,1749.096711,1749.39509,3093.266966
Chimichanga,0,32,15,11,3078.136108,1749.544279,1749.870765,3078.026252
Chimichanga,0,32,15,12,2991.823434,1750.026441,1750.33563,2991.529774
Ozzy,1,32,15,1,2784.596189,1739.315676,1739.611892,2784.943356
Ozzy,1,32,15,2,2772.440559,1739.916757,1740.241081,2771.859051
Ozzy,1,32,15,3,2735.027671,1740.455135,1740.781622,2738.065143
Ozzy,1,32,15,4,2757.047757,1741.03027,1741.382703,2757.845976
Ozzy,1,32,15,5,2779.244943,1741.596757,1741.968649,2777.59283
Ozzy,1,32,15,6,2742.22173,1742.154595,1742.541622,2743.977033
Ozzy,1,32,15,7,2758.954858,1743.172973,1743.51027,2751.247059
Ozzy,1,32,15,8,2752.050145,1743.659459,1743.996757,2751.247059
Ozzy,1,32,15,9,2752.133255,1744.135135,1744.457297,2743.834459
Ozzy,1,32,15,10,2741.743421,1744.135135,1744.457297,2743.834459
Chimichanga,0,34,16,1,2035.81962,1895.397252,1895.50536,2034.815436
Chimichanga,0,34,16,2,2018.834152,1895.622117,1895.730225,2025.566275
Chimichanga,0,34,16,3,2060.526316,1895.818874,1895.939955,2064.606742
Chimichanga,0,34,16,4,2066.929134,1896.011306,1896.136711,2065.069608
Chimichanga,0,34,16,5,2079.401136,1896.192928,1896.331306,2081.074881
Chimichanga,0,34,16,6,2086.704432,1896.374549,1896.499955,2088.989333
Chimichanga,0,34,16,7,2054.683668,1896.569144,1896.707522,2052.171063
Chimichanga,0,34,16,8,2039.221557,1896.748603,1896.886982,2037.719155
Chimichanga,0,34,16,9,2101.439835,1896.925901,1897.059955,2103.552097
Chimichanga,0,34,16,10,2065.644911,1897.10536,1897.252387,2081.215299
Chimichanga,0,34,16,11,2087.443946,1897.306441,1897.449144,2087.988561
Ozzy,1,34,16,1,1412.947977,1886.509189,1886.634595,1411.263786
Ozzy,1,34,16,2,1454.477904,1886.876757,1887.025946,1454.361702
Ozzy,1,34,16,3,1466.535742,1887.283243,1887.447568,1466.551677
Ozzy,1,34,16,4,1471.381579,1887.603243,1887.782703,1470.928617
Ozzy,1,34,16,5,1402.834008,1887.923243,1888.124324,1402.368065
Ozzy,1,34,16,6,1433.788282,1888.269189,1888.465946,1433.237294
Ozzy,1,34,16,7,1441.434978,1888.593514,1888.811892,1442.373585
Ozzy,1,34,16,8,1466.823264,1888.945946,1889.179459,1464.575646
Ozzy,1,34,16,9,1450.657895,1889.345946,1889.570811,1454.139357
