bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,start,stop
BigMac,1,25,12,1,2386.720818,0.369984568,0.866898148
BigMac,1,25,12,2,2315.304606,1.128740394,1.632340552
BigMac,1,25,12,3,2363.666562,1.887967582,2.39309795
BigMac,1,25,12,4,2363.602294,2.675216224,3.177397137
Gasolino,0,25,12,1,1674.889381,12.40235828,12.46383934
Gasolino,0,25,12,2,1671.730826,12.5761341,12.65329446
Gasolino,0,25,12,3,1715.211755,12.77250756,12.85121126
Gasolino,0,25,12,4,1731.51909,12.9661804,13.04989953
Gasolino,0,25,12,5,1732.099463,13.16718348,13.2474304
BigMac,1,27,13,1,1548.850575,0.78159689,0.817091399
BigMac,1,27,13,2,1494.123875,1.089090399,1.131916415
BigMac,1,27,13,3,1505.853659,1.32288596,1.420498411
BigMac,1,27,13,4,1531.139241,1.601436637,1.726828564
BigMac,1,27,13,5,1532.153392,1.893471592,2.031835475
BigMac,1,27,13,6,1527.745128,2.197494471,2.344106181
BigMac,1,27,13,7,1524.480638,2.515341081,2.651775951
BigMac,1,27,13,8,1513.550267,2.838693241,2.978745888
Gasolino,0,27,13,1,2815.6597,8.460977734,8.599843055
Gasolino,0,27,13,2,2827.913243,8.725623583,8.893945578
Gasolino,0,27,13,3,2805.088596,9.015781123,9.215396825
Gasolino,0,27,13,4,2820.628684,9.319909297,9.527663734
Gasolino,0,27,13,5,2789.655539,9.611247166,9.824521692
Gasolino,0,27,13,6,2786.240786,9.921377569,10.11517007
Gasolino,0,27,13,7,2799.347623,10.23294576,10.45192439
Gasolino,0,27,13,8,2806.073753,10.53895692,10.72710078
Gasolino,0,27,13,9,2783.908985,10.8429932,11.03730456
Gasolino,0,27,13,10,2777.781074,11.14848073,11.37778842
Gasolino,0,27,13,11,2789.606427,11.46267574,11.68562937
Gasolino,0,27,13,12,2774.370385,11.78002595,12.00421931
Gasolino,0,27,13,13,2782.815057,12.10340136,12.35277857
Gasolino,0,27,13,14,2759.860929,12.4368254,12.66183234
Gasolino,0,27,13,15,2760.890152,12.76444444,12.97993197
BigMac,1,29,14,1,5651.107266,0.43311319,0.826298186
BigMac,1,29,14,2,5670.062743,1.046349206,1.501713593
BigMac,1,29,14,3,5531.267225,1.607619048,2.027218128
BigMac,1,29,14,4,5527.551684,2.081826972,2.430623268
BigMac,1,29,14,5,5448.572703,2.535328798,2.942033258
BigMac,1,29,14,6,5422.874229,3.002630385,3.366643046
BigMac,1,29,14,7,5469.270175,3.49109001,3.849634669
Gasolino,0,29,14,1,5334.57127,2.827356387,3.35914903
Gasolino,0,29,14,2,5128.431607,3.61016125,4.275064878
Gasolino,0,29,14,3,5202.126683,4.421152683,5.013984631
